country_name,iso3c,year,e_gdppc,v2x_polyarchy,gini,gini_year,distance_2010,gini_source
Iran,IRN,2010,29.933,0.145,42.1,2009.0,1.0,World Bank SI.POV.GINI
Iraq,IRQ,2010,17.739,0.421,29.5,2012.0,2.0,World Bank SI.POV.GINI
Ireland,IRL,2010,105.318,0.901,32.3,2010.0,0.0,World Bank SI.POV.GINI
Italy,ITA,2010,76.988,0.856,34.7,2010.0,0.0,World Bank SI.POV.GINI
Jordan,JOR,2010,21.078,0.24,33.7,2010.0,0.0,World Bank SI.POV.GINI
Latvia,LVA,2010,43.733,0.796,35.0,2010.0,0.0,World Bank SI.POV.GINI
Lesotho,LSO,2010,6.3,0.578,,,,
Liberia,LBR,2010,2.434,0.648,36.4,2007.0,3.0,World Bank SI.POV.GINI
Malawi,MWI,2010,2.788,0.516,45.5,2010.0,0.0,World Bank SI.POV.GINI
Maldives,MDV,2010,27.646,0.596,38.4,2009.0,1.0,World Bank SI.POV.GINI
Mongolia,MNG,2010,13.411,0.679,33.1,2010.0,0.0,World Bank SI.POV.GINI
Morocco,MAR,2010,16.369,0.256,39.5,2013.0,3.0,World Bank SI.POV.GINI
Netherlands,NLD,2010,102.149,0.873,27.8,2010.0,0.0,World Bank SI.POV.GINI
Panama,PAN,2010,36.247,0.744,51.6,2010.0,0.0,World Bank SI.POV.GINI
Papua New Guinea,PNG,2010,8.55,0.458,41.9,2009.0,1.0,World Bank SI.POV.GINI
Qatar,QAT,2010,207.496,0.04,,,,
Sierra Leone,SLE,2010,3.456,0.514,34.0,2011.0,1.0,World Bank SI.POV.GINI
Spain,ESP,2010,74.152,0.891,35.2,2010.0,0.0,World Bank SI.POV.GINI
Syria,SYR,2010,14.76,0.146,40.4,2009.0,1.0,World Bank SI.POV.GINI
Tunisia,TUN,2010,24.319,0.194,38.5,2010.0,0.0,World Bank SI.POV.GINI
Türkiye,TUR,2010,36.886,0.534,38.8,2010.0,0.0,World Bank SI.POV.GINI
Ukraine,UKR,2010,21.71,0.49,24.8,2010.0,0.0,World Bank SI.POV.GINI
United Kingdom,GBR,2010,85.428,0.866,33.7,2010.0,0.0,World Bank SI.POV.GINI
Uruguay,URY,2010,40.624,0.912,44.5,2010.0,0.0,World Bank SI.POV.GINI
Algeria,DZA,2010,25.703,0.322,27.6,2011.0,1.0,World Bank SI.POV.GINI
Angola,AGO,2010,12.758,0.214,42.7,2008.0,2.0,World Bank SI.POV.GINI
Armenia,ARM,2010,19.948,0.33,30.0,2010.0,0.0,World Bank SI.POV.GINI
Azerbaijan,AZE,2010,32.726,0.211,,,,
Belarus,BLR,2010,42.234,0.227,28.6,2010.0,0.0,World Bank SI.POV.GINI
Cameroon,CMR,2010,5.389,0.319,42.8,2007.0,3.0,World Bank SI.POV.GINI
Chad,TCD,2010,4.025,0.283,43.3,2011.0,1.0,World Bank SI.POV.GINI
China,CHN,2010,23.845,0.094,43.7,2010.0,0.0,World Bank SI.POV.GINI
Democratic Republic of the Congo,COD,2010,1.465,0.361,42.1,2012.0,2.0,World Bank SI.POV.GINI
Republic of the Congo,COG,2010,9.693,0.256,48.9,2011.0,1.0,World Bank SI.POV.GINI
Djibouti,DJI,2010,6.557,0.241,45.1,2012.0,2.0,World Bank SI.POV.GINI
Dominican Republic,DOM,2010,24.341,0.614,47.3,2010.0,0.0,World Bank SI.POV.GINI
Eritrea,ERI,2010,3.876,0.068,,,,
Gabon,GAB,2010,25.015,0.372,,,,
The Gambia,GMB,2010,4.579,0.242,43.6,2010.0,0.0,World Bank SI.POV.GINI
Georgia,GEO,2010,20.061,0.501,39.5,2010.0,0.0,World Bank SI.POV.GINI
Guinea-Bissau,GNB,2010,3.217,0.444,50.6,2010.0,0.0,World Bank SI.POV.GINI
Jamaica,JAM,2010,16.511,0.776,,,,
Kazakhstan,KAZ,2010,43.19,0.238,28.0,2010.0,0.0,World Bank SI.POV.GINI
Kyrgyzstan,KGZ,2010,9.496,0.383,30.1,2010.0,0.0,World Bank SI.POV.GINI
Laos,LAO,2010,9.042,0.091,36.0,2012.0,2.0,World Bank SI.POV.GINI
Libya,LBY,2010,40.504,0.072,,,,
Madagascar,MDG,2010,2.781,0.226,42.4,2010.0,0.0,World Bank SI.POV.GINI
Moldova,MDA,2010,10.937,0.6,32.1,2010.0,0.0,World Bank SI.POV.GINI
Namibia,NAM,2010,18.411,0.635,61.0,2009.0,1.0,World Bank SI.POV.GINI
Palestine/West Bank,PSE,2010,,0.249,35.3,2010.0,0.0,World Bank SI.POV.GINI
Rwanda,RWA,2010,3.737,0.218,47.2,2010.0,0.0,World Bank SI.POV.GINI
Somalia,SOM,2010,5.953,0.192,,,,
Sri Lanka,LKA,2010,19.793,0.39,36.1,2009.0,1.0,World Bank SI.POV.GINI
Eswatini,SWZ,2010,16.506,0.126,51.4,2009.0,1.0,World Bank SI.POV.GINI
Tajikistan,TJK,2010,6.764,0.227,30.8,2009.0,1.0,World Bank SI.POV.GINI
Togo,TGO,2010,2.838,0.417,46.0,2011.0,1.0,World Bank SI.POV.GINI
Trinidad and Tobago,TTO,2010,72.458,0.775,,,,
Turkmenistan,TKM,2010,30.729,0.144,,,,
Palestine/Gaza,PSE,2010,,0.144,35.3,2010.0,0.0,World Bank SI.POV.GINI
Somaliland,,2010,,0.42,,,,
Uzbekistan,UZB,2010,16.477,0.162,,,,
Austria,AUT,2010,94.298,0.872,30.3,2010.0,0.0,World Bank SI.POV.GINI
Bahrain,BHR,2010,59.397,0.216,,,,
Barbados,BRB,2010,36.574,0.783,,,,
Belgium,BEL,2010,92.563,0.904,28.4,2010.0,0.0,World Bank SI.POV.GINI
Bosnia and Herzegovina,BIH,2010,20.361,0.57,33.3,2011.0,1.0,World Bank SI.POV.GINI
Bulgaria,BGR,2010,37.669,0.678,35.7,2010.0,0.0,World Bank SI.POV.GINI
Comoros,COM,2010,3.946,0.439,,,,
Croatia,HRV,2010,44.744,0.846,32.4,2010.0,0.0,World Bank SI.POV.GINI
Cuba,CUB,2010,16.777,0.167,,,,
Cyprus,CYP,2010,68.196,0.848,31.5,2010.0,0.0,World Bank SI.POV.GINI
Czechia,CZE,2010,63.025,0.886,26.6,2010.0,0.0,World Bank SI.POV.GINI
Denmark,DNK,2010,101.478,0.922,27.2,2010.0,0.0,World Bank SI.POV.GINI
Equatorial Guinea,GNQ,2010,96.533,0.18,,,,
Estonia,EST,2010,51.205,0.881,32.0,2010.0,0.0,World Bank SI.POV.GINI
Fiji,FJI,2010,18.049,0.134,40.4,2008.0,2.0,World Bank SI.POV.GINI
Finland,FIN,2010,86.927,0.882,27.7,2010.0,0.0,World Bank SI.POV.GINI
Greece,GRC,2010,60.574,0.907,34.1,2010.0,0.0,World Bank SI.POV.GINI
Guyana,GUY,2010,17.705,0.58,,,,
Hong Kong,HKG,2010,,0.373,,,,
Iceland,ISL,2010,97.155,0.879,26.2,2010.0,0.0,World Bank SI.POV.GINI
